<Trait>	Trait_1_H2_0.25	Trait_2_H2_0.75	Rep
764	-5.02686381094515	-1.4244237063193	1
779	2.71900083302188	2.53926081207401	1
787	-0.501900484844234	-0.105947205311471	1
790	-3.51387015659332	-1.25018567849994	1
793	-3.37986941346551	-0.875636795045495	1
904	-2.82409031442197	-2.45044526463067	1
911	-1.21511860117286	1.91633753233893	1
912	-5.08505597656746	-2.91989924554228	1
1538	2.51092253200467	-1.48675369534657	1
2369	-4.17626296116019	-1.18536242640108	1
4226	-4.13820102999974	-1.27500831040655	1
4722	5.71847225509363	0.839993229894309	1
11430	-2.58532403529515	0.859427613757903	1
52220	1.13737089646353	-0.50698499590441	1
04033V	0.522022731521049	1.31493136488852	1
07108Vbt	0.69992142307749	2.99719627975759	1
33-16	-0.867555498583694	0.422438931270969	1
38-11	3.7219185376395	-0.404531458273098	1
4554_INBRED	6.0968018332849	2.74431736819574	1
4578_INBRED	-0.0922031635002811	-0.204691108239017	1
4F-234_BX_4	4.80884299388813	1.0824467676808	1
4F-306_108	1.86085369339674	1.62318368131584	1
4F-35_BK	2.20538836597606	-0.893671848256209	1
4F-403_JV_15	-1.28844237717814	0.54361296232817	1
4N506	0.248840403805604	2.4668218650286	1
80-2	-1.90877037010006	-0.0694523863377627	1
A	0.903169085822766	-0.286131102054618	1
A12	-0.817236430247681	-1.49718759416998	1
A15	2.30658701002683	-1.46630893819925	1
A155	-4.08428795221783	-2.89237011708573	1
A171	-3.79176231198297	-1.99836358116886	1
A188	-0.993877835301498	-1.18153250901996	1
A208	1.92864118188648	-1.06237221053958	1
A239	0.0514966279361019	-0.493337172573613	1
A258	-1.41938988177459	-2.30566012949861	1
A305	-1.30885736810234	0.20331247473605	1
A321	0.307744446080935	-0.630427385620874	1
A322	-6.4592863311539	-4.06711593366348	1
A334	1.06004077505752	1.1026119901166	1
A340	-4.52967278333105	0.531318698476167	1
A344	-2.18042685728756	-0.541885580104162	1
A374	-1.78800044579368	-0.267882308650084	1
A385	-1.36186405101801	-2.65626968631982	1
A3G-3-3-1-313	2.14111772400356	2.65131510168847	1
A401	-2.37847516626024	-2.58754173767864	1
A415-1-3_INBRED	-3.87036934682599	-2.30369996145853	1
A427	-6.03911655129843	-2.28576215949984	1
A441-5	-1.40213644219125	-0.00646668947057139	1
A508	-6.11235359839983	0.606704500465382	1
A548	-0.479641911797433	-2.93491680780673	1
A554	1.96014518181224	-2.51734663673189	1
A556	2.37221114849992	-0.956617954933784	1
A572	-9.7139975334262	0.173071601553306	1
A619	-1.25870394822875	-2.17092110928432	1
A627	-1.78559644638102	-0.582003112595033	1
A632	1.67093282710359	-0.619146765459738	1
A634	-1.95680390910362	0.552408570286442	1
A635	-3.03787980784396	-0.100540354781188	1
A641	2.13790839341361	0.861520794957733	1
A648	-0.648425994660263	1.22878046526128	1
A649	0.578950585030601	-1.0744560243041	1
A651	3.75902853926302	1.12787655450743	1
A654	3.23583158193479	1.41615528026836	1
A659	3.92493741986419	4.16892515854056	1
A661	-2.96707301103948	0.0205508226106388	1
A662	-6.81121773210682	-2.31544777116376	1
A663	-1.45577290468379	-1.93378853994308	1
A672	-4.14866271403754	1.28018690696908	1
A673	-0.633671652401365	0.27395463309712	1
A674	0.453568387208868	0.208336298317718	1
A679	-1.54650828378606	-1.00777094702692	1
A680	2.0870489023942	-0.766607335389186	1
A682	-2.38793827485313	-2.13228460171828	1
A71	-1.54368892308381	-1.76200251026246	1
A73	4.89223307900439	0.46291977800666	1
A797NW	0.663734223003601	-2.2583393616339	1
A96	-0.633246157429464	0.635993939274103	1
AH83	1.04009601338721	0.100647475893724	1
AM0776	-1.25186749552708	-2.51130732227509	1
AR228	-2.91063789471119	0.176985465462402	1
AS5707	2.45084724461041	-2.57151867726553	1
AS6103	-0.192513483908398	0.760331559101292	1
AusTRCF_306238	2.16226528139381	0.171821703553334	1
B-18_INBR.FR.SUPERGOLD	0.304504613430808	2.84836113349195	1
B-28	4.44633133779701	3.08219448613279	1
B10	2.156852337654	0.415414571373452	1
B101	3.2974774104173	1.04857927732125	1
B104	-3.40888817615277	-2.50911848383105	1
B105	-3.33848741592247	0.383633455284948	1
B106	-0.220739086965599	-0.665348026629349	1
B107	-0.874648138433383	-0.229412071685518	1
B108	2.61062844731875	-0.0254989667123068	1
B109	-3.61882058778106	0.173300284929549	1
B110	-1.59776403616705	-1.90832169035745	1
B111	-1.78420620077125	0.799369677707063	1
B112	-3.59986585685662	-2.75122424250734	1
B113	-2.27750220054838	-0.518218090061827	1
B114	1.1166527037028	-0.501808773829128	1
B115	0.65757284539651	-1.18273538920708	1
B118	-2.72808621537699	-1.39108140800635	1
B119	-0.713145322083092	-2.77852850629627	1
B120	2.75312049485382	-0.0699231897287511	1
B121	-2.05881516882492	-1.82199586122388	1
B14	-0.489636585919545	-0.329090967562336	1
B14A	2.64737902869246	-0.547082254462169	1
B164	5.79658663870379	0.202882483341842	1
B2	6.24598491577939	3.42783124824063	1
B37	1.71073520721735	-0.16686853387919	1
B42	-1.91849834082821	-2.27012729288471	1
B46	0.663189981792742	0.452920546993181	1
B52	-2.88453942195745	-1.15889871829114	1
B54	1.19934124759769	1.28175663663884	1
B57	-0.790207161520479	-0.0186636298313752	1
B64	0.243755290068927	0.109861500244015	1
B65	4.11467539698727	-1.05534149056329	1
B66	2.63806830182665	-0.789290316679312	1
B68	1.96208712573623	-0.643616440647667	1
B7	1.02630714137626	1.69265619021579	1
B70	4.25483912115453	-2.78651902325337	1
B73	1.26748699767511	0.0786135581094812	1
B73Htrhm	-0.861170328609303	-2.08305420183698	1
B75	5.01447892073571	0.493520271432889	1
B76	-0.116915336836617	-0.77823901696558	1
B77	0.4604744775545	0.982998733620584	1
B79	0.739261490446168	0.521051435417162	1
B8	1.54752690500045	-0.308691278097624	1
B84	-2.31886291052271	-2.1068688259884	1
B85	0.597976236856858	-0.46404929340385	1
B87	-5.38254686519473	0.539894207060083	1
B88	-2.56669516733861	0.424031915853716	1
B90	-4.41824882641844	-1.09752943551638	1
B91	2.15270071294533	-1.6130459299659	1
B97	1.93196376598749	1.49640986606005	1
B98	-1.65945982055013	-1.31349518090285	1
B99	-0.0533555860409867	-0.477079980520367	1
Bei_10_=_North_10	-3.30997632207842	0.52846713231672	1
BSSSC0_001	-4.79234828161189	-0.842688982100146	1
BSSSC0_002	1.9157404459444	1.39721667918967	1
BSSSC0_003	2.24755708781439	0.571405044062557	1
BSSSC0_005	-1.36862016348303	-0.896548140401623	1
BSSSC0_006	-1.55969369433062	-0.00935114064990039	1
BSSSC0_007	0.0810655969242413	1.37702098949395	1
BSSSC0_008	2.64142365867787	3.92422907506113	1
BSSSC0_009	-4.37949803278267	0.00773184168064234	1
BSSSC0_012	-1.65063410245768	-1.83455040416361	1
BSSSC0_013	1.23144140854357	-0.217793391663951	1
BSSSC0_014	-0.752329557838822	1.02956636322931	1
BSSSC0_015	0.631913468367751	-0.186733184635033	1
BSSSC0_016	0.5482416934498	0.758151825760465	1
BSSSC0_018	0.617552145514712	1.05511718269052	1
BSSSC0_019	0.309444032002185	-1.02737979720054	1
BSSSC0_020	-0.119864584739706	-0.752035090681853	1
BSSSC0_021	-4.18904361212989	1.43022372218838	1
BSSSC0_022	-1.50334799685499	-1.63598612929555	1
BSSSC0_023	4.85298577142304	2.84907358037936	1
BSSSC0_024	-1.49030287954975	-1.2120037527628	1
BSSSC0_025	-4.3351601393126	-1.68168110159957	1
BSSSC0_026	-3.42144529756005	-0.913937531691343	1
BSSSC0_028	1.90574107644389	-0.0543649243212862	1
BSSSC0_029	1.05611157826469	-1.80996207718519	1
BSSSC0_030	2.79736246149973	-2.71003220784919	1
BSSSC0_031	-2.20980272226339	-2.62565949300693	1
BSSSC0_033	4.40632782226062	3.51235627913203	1
BSSSC0_034	3.72794058765906	1.42388179556746	1
BSSSC0_035	0.609403457431556	0.578663260752819	1
BSSSC0_036	0.653615017564633	1.38223559148335	1
BSSSC0_037	-0.857288352126941	0.133916438960686	1
BSSSC0_038	-1.57046048911885	-0.0602494764428385	1
BSSSC0_039	3.05001372096754	-2.02883693648352	1
BSSSC0_040	0.0141524812887895	-1.39130644630838	1
BSSSC0_041	-3.48556215745452	-0.553939838448395	1
BSSSC0_042	2.31604444476726	0.835283399385477	1
BSSSC0_043	1.404894640507	1.78862293170483	1
BSSSC0_044	-3.24438993165872	-1.2677802877076	1
BSSSC0_045	0.0791692528424259	0.503398007094608	1
BSSSC0_046	2.31635737564431	2.22569894502366	1
BSSSC0_048	-2.77409998909668	0.200981375229589	1
BSSSC0_049	-2.50367464569771	-0.619344107668062	1
BSSSC0_050	2.09347172148924	0.631739784206486	1
BSSSC0_051	3.73325780804532	-2.09142371375292	1
BSSSC0_052	0.298015585734378	0.770871021813521	1
BSSSC0_053	-0.360766070038704	-2.30818191108599	1
BSSSC0_054	-0.459730336500502	0.250109456306879	1
BSSSC0_055	1.23089839302855	-1.01872664521978	1
BSSSC0_056	-1.16655707642992	-0.171908248261236	1
BSSSC0_057	-0.525264098424208	-0.882951152545006	1
BSSSC0_058	5.0956891314034	2.17039450699224	1
BSSSC0_060	-2.94186427392205	-2.24948144298694	1
BSSSC0_061	1.39671406072984	1.92820939032984	1
BSSSC0_062	0.742214538869237	-1.9495619175389	1
C102	-1.43200653606728	-1.21248192469542	1
C103	5.95880090153932	-0.258366820187254	1
C123	-3.73363801090185	-1.77778493299705	1
C15	7.09349771571987	1.54679590346771	1
C42	-2.40066211375759	1.0532934395638	1
C49A	2.16609432748306	0.730295035642424	1
C68	3.11793159791021	1.74304141644398	1
CA-4	-1.83580044348819	-0.268275041175731	1
CG10	-0.216560573595903	-2.3447804075767	1
CG106	-1.50680665253487	-0.846899798363262	1
CG108	-0.636021961158354	0.0624707607281084	1
CG65	2.34309389413477	-0.912604912655473	1
CH157	0.468369412169939	1.73630448745053	1
CH701-30	-0.531022032198008	-1.28550756229229	1
CH711-10	0.0108184428601057	-0.577808907758551	1
CH753-4	-2.93385591185648	-0.704628950188592	1
CH9	1.90897763598692	-0.823604222743931	1
Chi-tan_120	-2.22539750544146	-0.697025528669885	1
CI_187-2	5.09154729371827	2.79796855586705	1
CI_21E	-1.53316965562086	0.589119316816082	1
CI_28A	1.65793498192878	1.61751382275198	1
CI_31A	-1.41283074010585	-0.971323071413712	1
CI_3A	1.97861891965289	1.03590188637128	1
CI_40H	-4.02974368465569	-1.67963328129037	1
CI_540	-5.39945749729852	0.985994502446264	1
CI_64	2.73672033348936	2.90860364029559	1
CI_82B	0.395554298907574	-0.909668185676422	1
CI_90C	1.46966917417291	-0.804653092406967	1
CI_91B	-0.76320732196547	-0.816216301606037	1
CL17	-0.0908357200912431	1.59571747618302	1
CL18	0.813437033748225	0.640626070041805	1
CL22	-0.719830783120004	1.69876994687591	1
CL27	0.738918576806922	-0.296297928180738	1
CM105	-0.110498413017501	1.79921254313852	1
CM37	1.82172529446314	-0.15093675100039	1
CM48	-0.864505546697058	0.825223596385586	1
CM7	1.68892591235476	-0.757726777488892	1
CM99	1.50886820908897	0.131893075678229	1
CML_108	0.398326050136342	-0.0738285084884711	1
CML_144	-1.67675060608253	0.964567828884813	1
CML_154Q	1.64927392535842	2.85762763283323	1
CML_161	0.226061380772733	2.924667982173	1
CML_176	-0.542328500089291	2.18512593902765	1
CML_197	-1.02906250397489	-1.69563037421482	1
CML_202	-0.982732434384829	-0.0222894838542095	1
CML_216	0.913518047502349	-1.54119966106439	1
CML_218	1.52296969594355	2.44081990503579	1
CML_220	1.32477339202511	0.148500155864665	1
CML_228	2.61624599138131	2.36285864117097	1
CML_247	1.790366172664	0.152245976832458	1
CML_251	0.54570154899096	1.29078499396391	1
CML_254	1.66637876338238	3.68993569529135	1
CML_264	4.47504205214632	2.3887194585536	1
CML_277	2.71554503966121	2.52309798079422	1
CML_287	-1.71896646510662	2.12312085006141	1
CML_312	0.676083364205613	0.182584272277996	1
CML_322	-0.989929135295451	-1.82430955578797	1
CML_323	0.959586466586656	0.338108572365989	1
CML_376	2.52710390232794	0.448479159404729	1
CML_387	2.95867111652479	1.83438815509446	1
CML_395	4.37699927936364	0.475930907818248	1
CML_421	1.18101117023094	1.8509750078474	1
CML_444	3.20302841947472	2.74372790689868	1
CML_448	0.70755961107562	0.151971567701914	1
CML_451	3.06980992830464	1.64465017057293	1
CML_465	5.06989689085926	1.39971564472884	1
CML_488	3.80671338814398	2.4463862186787	1
CML_491	3.94925973352724	-0.0110582248676915	1
CML_496	2.90495233134136	1.75916900446279	1
CML_504	-3.25188693434706	0.622887479116056	1
CML_505	4.56433724869492	3.11668352231014	1
CML_509	2.05690527742471	1.93459245230559	1
CML_511	-1.42788566594244	0.491214156617846	1
CML_52	2.22303639203696	3.66901736775727	1
CML_91	1.63354273707595	2.06035838926252	1
CMV3	0.946692451378255	0.0211734799121713	1
CO106	3.51287760395262	1.06695248005841	1
CO117	-3.98924754385241	-1.47285549162158	1
CO125	5.39534247619748	-1.84959867480395	1
CO158	-6.23881048721259	-3.67138185019466	1
CO192	-6.23515197150456	-1.59217300693769	1
CO216	0.101301066131473	1.55937641553039	1
CO236	-0.729676933177588	0.116767751463322	1
CO237	0.144616627146273	0.167359126403161	1
CO245	2.0795075550539	-2.81456693615366	1
CO255	6.78234713924967	1.19387238948242	1
CO256	2.52121182508168	3.23119034351965	1
CO257	-1.96665663822226	0.57286296688206	1
CO258	-0.255483197900244	0.527708036247765	1
CQ702RC	-2.30443467695397	0.120500145660665	1
CQ806	-3.27695086826397	-1.45885602393897	1
CR_22_INBRED	-5.27397765720828	-1.18693258356593	1
CR14	-0.621018490614948	-1.76175387430218	1
CR1HT	-3.44946927323042	0.0710264040007167	1
CS405	-2.66748834408437	-0.277358475106757	1
CS608	-0.414166134314504	0.646027305906582	1
CSJ3	0.640018405502539	-0.0655322161424503	1
DE1	3.42597592688451	0.263284387262153	1
DE2	0.517946399826777	0.420753582716018	1
DE3	3.60904993585292	2.88489435961466	1
DE4	-1.15235384138874	-0.982509593781348	1
DE811	1.14520151755436	2.50417342297615	1
DJ7	0.989060965221831	-0.41340495927445	1
DK29MIBZ2	-2.34854189103216	-0.611697466659987	1
DK2FACC	-1.3222286709466	-0.49556049415884	1
DK2FADB	-1.28582105700565	-2.05186777586908	1
DK2MA22	1.75457241036133	1.10126876027019	1
DK2MCDB	0.506250016635477	-0.0208982285816586	1
DK3IBZ2	2.30112983309128	2.2768751680543	1
DK3IIH6	-0.171449542605857	-0.659733002056193	1
DK3IJI1	-4.6034678027457	-1.83137685084316	1
DK4676A	2.16712207119013	2.53589662843213	1
DK6F545	-2.99039640277177	-0.883074432957674	1
DK6F629	-7.694290793706	-0.787897082005657	1
DK6M502	0.974993056535836	3.37068959074267	1
DK6M502A	-0.373396208090678	1.74503964499107	1
DK78002A	2.55164584236609	2.32601088961577	1
DK78004	0.346640097508398	1.38858687571867	1
DK78010	-2.6259600958992	0.0255632655805677	1
DK78371A	0.886940726753012	2.63835209219894	1
DK78551S	-1.20038875001263	-0.664191283586751	1
DK83IBI3	-0.593625728529397	-0.738799104785443	1
DK84BRQ4	-8.48155023529419	-0.256123776760215	1
DK84QAB1	-3.95915986681825	-2.18330607288195	1
DK87916W	0.115417288663076	1.7180944366799	1
DK8F196	-4.53733093358528	-0.437714548206935	1
DK8M116	1.2619505696616	1.64221800935294	1
DK8M129	-3.26365856069729	-2.47336489866234	1
DK91IFC2	-1.57364598949522	-2.18585898899593	1
DKAQA3	0.0541793432213137	-0.450411452001332	1
DKF118	0.235951872563991	1.27492804009861	1
DKF274	0.450894266811506	-1.07461854079305	1
DKFBHJ	-3.78928306491784	-0.00190671899546102	1
DKFBLA	-0.198419119878937	1.28265354649435	1
DKFBLL	1.56250848195377	-0.29435641641009	1
DKHB8229	-1.79898603393919	0.911077628548956	1
DKHBA1	-1.78808603424539	-2.50389416458989	1
DKIB014	-4.65472164345401	0.325505692683936	1
DKIB02	-0.181748862043161	-1.33258895302355	1
DKIBB14	0.393126655850488	0.296892883841004	1
DKIBB15	-0.423490254747809	-1.7091329805384	1
DKIBC2	1.02309070140407	-1.59827519119097	1
DKLIBC_4	2.02414315161696	0.0345796399485017	1
DKMBNA	-2.1023783483466	-1.54620239317843	1
DKMBPM	-3.04437578077341	-0.843275909202174	1
DKMBST	2.59555950721681	-0.636381879566363	1
DKMBUB	-0.596051501217094	-0.600071552742913	1
DKMBWZ	-1.0127510098693	-2.24205802874833	1
DKMBZA	1.54513521561253	-1.47693720823628	1
DKMDF-13D	3.46207205933889	1.47121018984948	1
DKMM402A	-0.625784204648633	-3.00613108962599	1
DKMM501D	-1.58750302880228	-1.5685208719162	1
DKNL001	3.84058823841998	-1.66959187633999	1
DKPB80	-2.85307235548879	0.0996006466402539	1
DKWDAD1	-1.22605863321293	-2.48497339315201	1
